1.3115	0.48131	0.45666	-0.0030809	7.9828e-06	0.00035676	1.3273	0.47194	0.001594	0.0065836	0.00049929	1.278	0.0012799	-0.000435	-0.0044526	0.42082	0.0018493	-0.0040503	0.41274	-0.0034781	0.41834
1.2751	0.47335	0.4514	-0.0019372	0.00054004	-0.0017369	1.3346	0.45693	0.0032426	0.0054465	0.0012914	1.1833	-0.0026811	0.00026137	-0.00043214	0.39418	0.0014934	-0.0071791	0.38751	0.00073131	0.4131
1.2069	0.43801	0.43131	-0.0036768	-0.0027478	0.0022564	1.2526	0.432	0.0024414	0.009726	0.00083975	1.1442	-0.00020747	-0.00031145	-0.0051294	0.3766	-0.00073612	-0.0044636	0.37416	-0.0010908	0.39196
1.2253	0.43412	0.45626	-0.0048053	-0.00019392	0.0018901	1.1675	0.4359	0.00055053	-0.0039982	-0.00097271	1.325	0.0018457	0.0026125	0.00014159	0.39091	-0.0017665	-0.00064695	0.40103	4.7408e-05	0.37855
1.327	0.50251	0.4856	-0.0024581	-0.0044777	0.0021778	1.3832	0.48697	0.0017278	0.005602	0.00097456	1.2011	-0.0013854	0.0033956	-0.003557	0.38962	-0.0026059	-0.0040394	0.38805	0.0019476	0.42432
1.1042	0.38038	0.36416	3.2204e-05	0.0026748	0.0010177	1.1475	0.37194	-0.00063456	0.0039812	0.00088749	1.0516	0.00067492	-0.0036967	0.00014941	0.3633	-0.0038828	-0.0019078	0.35737	8.1387e-05	0.37111
1.1981	0.39759	0.38402	-0.0025289	0.0013653	0.00063197	1.2483	0.37928	0.0026278	0.0052647	0.001337	1.0673	-0.00069692	-0.002409	-0.0024051	0.37013	-0.0015352	-0.0040486	0.37861	-0.0012757	0.41934
1.2471	0.44341	0.40959	0.0011136	-0.00030318	0.00016675	1.3392	0.41964	-0.0038262	0.0029233	-0.00053725	1.0861	0.0035895	0.00069034	0.00072915	0.36685	2.3676e-05	-0.0040703	0.36865	-0.00065513	0.41154
1.1981	0.39759	0.38402	-0.0025289	0.0013653	0.00063197	1.2483	0.37928	0.0026278	0.0052647	0.001337	1.0673	-0.00069692	-0.002409	-0.0024051	0.37013	-0.0015352	-0.0040486	0.37861	-0.0012757	0.41934
0.96674	0.10352	0.091556	0.012493	-0.025213	-0.0045666	0.92916	0.096844	-0.0088723	0.0057943	0.0065012	0.99677	-0.0019182	0.019679	-0.0019428	0.44271	-0.0018932	0.0050265	0.45692	0.007807	0.42699
0.90486	0.12071	0.101	0.0032847	-0.0025449	-0.00096533	0.89684	0.10166	-0.015861	0.0030494	-0.0057536	0.99937	0.012407	-0.00061694	0.0066111	0.43085	0.0070997	0.0033359	0.44873	0.0037462	0.40778
0.98292	0.08906	0.069097	-0.0019361	0.0020787	0.0028161	0.88067	0.13553	0.0038275	0.0012329	0.0018252	1.0296	-0.001987	-0.0035053	-0.0049133	0.48971	-0.0041445	0.0017282	0.45276	-0.0016861	0.39093
