Sample,Phase,Density,VRH,C11,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66,Quartz,Feldspar,Biotite,Muscovite,Chlorite,Hornblende,Garnet,Pyrite,AH,AI,AJ,AK,AL,AM,AN
7,4,2.83,1,1.652,0.30589,0.41891,0.023942,0.0060152,0.023434,0.78973,0.34108,0.018231,-0.00037787,0.0015438,1.5185,0.12964,0.0029937,0.0044237,0.31236,0.010161,0.0035447,0.58101,0.058084,0.29652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,4,2.83,2,1.2971,0.26628,0.34611,0.01771,0.013585,0.021032,0.64882,0.29002,0.0081002,0.00027777,0.00041601,1.1258,0.092541,0.0055952,0.0040396,0.22371,0.0085291,0.0023426,0.42634,0.04447,0.21173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,5,2.95,1,1.5987,0.54397,0.6206,0.029469,-0.0077609,0.011188,1.0727,0.5508,0.03655,0.0041027,0.0083838,1.497,0.095973,-0.0084568,-0.0011047,0.29115,0.0015252,0.0023773,0.44579,0.052538,0.29783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,2.95,2,1.2298,0.57443,0.57828,0.0052439,-0.0064554,0.0058644,0.92925,0.58747,0.0080884,0.0046914,0.0035856,1.1512,0.051047,-0.0083303,-0.0036443,0.17414,0.00048185,0.0011313,0.28519,0.038533,0.17807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,3,3.05,1,1.6316,0.2226,0.30627,0.015262,-0.0074204,0.046725,0.63435,0.24692,-0.0078015,0.0024167,0.0028766,1.5545,0.11675,-0.010043,0.0020044,0.23477,0.018959,-0.0025266,0.64124,0.05607,0.22778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,3,3.05,2,0.87445,0.29317,0.30505,0.0048632,0.0009284,0.02081,0.49168,0.30627,-0.0068605,-2.52E-05,-0.0018527,0.80514,0.047703,-0.0062593,-0.0015607,0.08531,0.0076188,0.00059713,0.26297,0.025631,0.081261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,14,3.343,1,2.3973,0.65787,0.89627,0.046802,-0.001116,0.0031794,2.2215,0.73295,-0.0094917,-0.011538,-0.0092479,2.409,0.043711,-0.0023904,0.00090289,0.73524,0.0023833,-0.0069517,0.75116,0.013481,0.68669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,14,3.343,2,2.2743,0.6261,0.85537,0.044904,-0.001456,0.0029991,2.1045,0.69169,-0.010333,-0.010173,-0.0084931,2.2926,0.045009,-0.0031719,0.00097586,0.69507,0.0014688,-0.0066152,0.71228,0.013089,0.64719,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,6,3.124,1,1.6448,0.60261,0.66672,0.0060943,0.044628,-0.0097753,1.3754,0.57737,0.0061287,0.021226,-0.010516,1.4954,0.00038443,0.022791,-0.014964,0.41632,-0.016321,0.015077,0.47453,0.012469,0.44785,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,6,3.124,2,1.5382,0.5782,0.6401,0.0049401,0.04309,-0.0050138,1.3164,0.55156,0.0053424,0.019892,-0.0046385,1.3952,0.00061699,0.019004,-0.01501,0.39017,-0.014046,0.010123,0.43533,0.011866,0.41403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,15,4.26,1,4.0552,1.388,1.4148,0.021652,-0.030188,-0.0042903,3.3846,1.3558,0.088524,0.037399,0.0045402,3.8029,-0.057478,-0.0066534,-0.01575,1.3286,-0.012564,0.037284,1.2376,0.01082,1.3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,15,4.26,2,3.6683,1.5046,1.3484,0.0048497,-0.040516,-0.0058596,3.0044,1.5377,0.083664,0.032396,0.0067927,3.3815,-0.062355,-0.0019104,-0.013061,1.0207,-0.014689,0.046216,1.0632,0.020633,1.0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,2.9137,1,1.3904,0.22412,0.27371,-0.0018482,-0.010058,0.031344,0.90499,0.23853,0.011451,-0.00063433,0.0026107,1.2908,-0.0050594,-0.0028554,0.0042422,0.3676,0.012252,-0.0038614,0.52896,0.00038594,0.37378,0.37279,0.042579,0.16042,0.40667,0,0,0.00041156,0,0.0086427,0,0,0,0.0084884,,
9,0,2.9137,2,1.021,0.22157,0.23013,-0.0024207,-0.018008,0.030053,0.67635,0.24732,0.00090387,0.0058811,-0.0040152,0.89684,0.0032064,-0.0041367,-0.001918,0.20332,0.0090311,0.00016032,0.35243,0.004085,0.20406,0.37279,0.042579,0.16042,0.40667,0,0,0.00041156,0,0.0086427,0,0,0,0.0084884,,
9,0,2.9137,3,1.2057,0.22285,0.25192,-0.0021345,-0.014033,0.030699,0.79067,0.24292,0.0061774,0.0026234,-0.00070226,1.0938,-0.0009265,-0.003496,0.0011621,0.28546,0.010642,-0.0018506,0.44069,0.0022355,0.28892,0.37279,0.042579,0.16042,0.40667,0,0,0.00041156,0,0.0086427,0,0,0,0.0084884,,
9,1,2.649,1,1.0209,0.055211,0.062367,-0.0046453,0.0022006,0.00050091,1.0272,0.059241,0.022623,-0.010706,-0.0074325,1.0172,-0.019952,0.010403,0.004757,0.47827,0.0034271,-0.0095452,0.47947,-0.0058528,0.47407,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1,2.649,2,0.92647,0.096503,0.10255,-0.0036169,0.0027442,-4.83E-05,0.93392,0.098059,0.018904,-0.0096357,-0.0063544,0.92526,-0.017079,0.0087064,0.0043153,0.41322,0.0021362,-0.0082321,0.41314,-0.0048226,0.40954,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2,2.686,1,1.0775,0.43672,0.43038,-0.0076593,-0.0063786,0.002949,1.0984,0.43491,-0.012316,-0.00037644,0.026173,1.1,0.0013302,0.00022576,0.0097424,0.32419,0.00083781,0.00038464,0.32913,-0.0039688,0.32969,0,1,0,0,0,0,0,0,0,0,0,0,0,,
9,2,2.686,2,0.94841,0.39072,0.38741,-0.0061621,-0.0071069,0.0021021,0.96489,0.39467,-0.010267,0.00041323,0.020584,0.9627,0.00047751,0.0006688,0.011528,0.27639,-0.0016784,0.00011308,0.28341,-0.0038124,0.28479,0,1,0,0,0,0,0,0,0,0,0,0,0,,
9,9,2.56,1,1.0434,0.37314,0.42278,-0.025031,0.0037761,0.00010577,0.97204,0.37985,-0.019069,0.016646,-0.00093271,1.022,-0.01211,0.012946,0.0071636,0.32877,0.010927,0.013132,0.34242,-0.011004,0.32758,0,0,0,0,0,0,0,0,1,0,0,0,0,,
9,9,2.56,2,0.83195,0.34393,0.3761,-0.014047,5.22E-06,-0.0029051,0.79165,0.3539,-0.012339,0.013858,-0.0021529,0.82466,-0.0046978,0.0070614,0.007977,0.24501,0.00738,0.0075689,0.25506,-0.0079208,0.24308,0,0,0,0,0,0,0,0,1,0,0,0,0,,
9,4,2.83,1,1.6351,0.3271,0.41097,-0.00068232,-0.012176,0.048618,0.8272,0.34341,0.0033715,0.0026991,0.0092447,1.4667,-0.014399,-0.0080329,0.0061549,0.31525,0.018823,-0.00053351,0.56054,-0.0039118,0.32968,0,0,0,1,0,0,0,0,0,0,0,0,0,,
9,4,2.83,2,1.2597,0.28091,0.32911,-0.0010516,-0.018548,0.040502,0.66047,0.2835,0.0016332,0.00097523,0.0036431,1.0348,-0.010339,-0.009808,0.0045225,0.21734,0.013479,-3.42E-05,0.38986,-0.0033794,0.22225,0,0,0,1,0,0,0,0,0,0,0,0,0,,
9,7,3.81,1,2.9898,1.0673,1.0679,-0.00018717,-0.005237,0.00053032,2.9678,1.0899,0.0064927,0.0024016,0.00040075,2.9672,-0.0063055,0.0028355,-0.00093106,0.95992,-0.00093106,0.0024016,0.93789,-0.00018717,0.93726,0,0,0,0,0,0,1,0,0,0,0,0,0,,
9,7,3.81,2,2.9898,1.0673,1.0679,-0.00018717,-0.005237,0.00053032,2.9678,1.0899,0.0064927,0.0024016,0.00040075,2.9672,-0.0063055,0.0028355,-0.00093106,0.95992,-0.00093106,0.0024016,0.93789,-0.00018717,0.93726,0,0,0,0,0,0,1,0,0,0,0,0,0,,
