Sample,Phase,Density,VRH,C11,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66,Quartz,Feldspar,Biotite,Muscovite,Chlorite,Hornblende,Garnet,Pyrite,AH,AI,AJ,AK,AL,AM,AN
1,7,3.81,2,2.9706,1.0775,1.0769,-0.00013577,0.00025474,1.87E-05,2.9703,1.0772,0.00070163,-0.00013074,-0.00014776,2.9709,-0.00056587,-0.000124,0.00012906,0.94695,0.00012888,-0.00013116,0.94663,-0.00013607,0.94727,0,0,0,0,0,0,1,0,,,,,,,
2,0,2.8941,1,1.4809,0.40132,0.42005,0.00015906,0.01609,-0.027866,1.1464,0.40708,0.0039585,-0.0009633,-0.0071344,1.364,0.0044075,0.0089105,-0.0024974,0.40761,-0.010593,-0.0012796,0.48894,0.0022774,0.40895,0.21414,0.18755,0.19747,0.038017,0.13938,0.16384,0.059621,0,,,,,,,
2,0,2.8941,2,1.029,0.34986,0.33513,0.00014147,0.013438,-0.025274,0.78897,0.3727,-0.002582,-0.0040347,0.0010815,0.93246,0.0057524,0.0050287,0.0029929,0.21549,-0.010165,-0.0014357,0.30452,0.00076294,0.20812,0.21414,0.18755,0.19747,0.038017,0.13938,0.16384,0.059621,0,,,,,,,
2,0,2.8941,3,1.2549,0.37559,0.37759,0.00015026,0.014764,-0.02657,0.96767,0.38989,0.00068825,-0.002499,-0.0030264,1.1482,0.00508,0.0069696,0.00024777,0.31155,-0.010379,-0.0013576,0.39673,0.0015201,0.30854,0.21414,0.18755,0.19747,0.038017,0.13938,0.16384,0.059621,0,,,,,,,
2,1,2.649,1,1.0225,0.057911,0.063493,-0.0047997,0.0042663,-0.0080999,1.0193,0.064031,0.016689,-0.004906,-0.012604,1.0064,-0.018488,0.0027785,0.010443,0.47976,0.0041683,-0.0035978,0.48089,-0.0088357,0.47978,1,0,0,0,0,0,0,0,,,,,,,
2,1,2.649,2,0.92956,0.098211,0.10321,-0.0036403,0.0034649,-0.0078589,0.92746,0.10248,0.013336,-0.0031576,-0.012792,0.91542,-0.015898,0.0019332,0.010538,0.41297,0.002667,-0.0021074,0.4143,-0.008689,0.41502,1,0,0,0,0,0,0,0,,,,,,,
2,2,2.686,1,1.0801,0.43341,0.42967,-0.00093644,0.0023029,0.0019183,1.0929,0.44181,-0.0010523,0.0024748,0.0042827,1.0972,-0.0049969,-0.0042232,0.0014004,0.33227,-0.00013016,0.0025701,0.32471,0.0015466,0.32891,0,1,0,0,0,0,0,0,,,,,,,
2,2,2.686,2,0.94865,0.38861,0.38707,-0.001887,0.0017323,0.0014803,0.9578,0.39963,-6.87E-05,0.0021841,0.0035922,0.95973,-0.0038714,-0.0034043,0.0015597,0.28355,-0.00012186,0.0025872,0.27983,0.0023031,0.28408,0,1,0,0,0,0,0,0,,,,,,,
2,3,3.05,1,1.5803,0.25635,0.29559,0.0014914,0.0062111,-0.067179,0.62205,0.30572,-0.025281,-0.0069424,-0.018673,1.4543,-0.00025188,0.0048362,0.00056209,0.30284,-0.027459,-0.0055938,0.6042,-0.0064072,0.27864,0,0,1,0,0,0,0,0,,,,,,,
2,3,3.05,2,0.8063,0.31285,0.29651,0.0020253,0.0079826,-0.027291,0.48314,0.33462,-0.0048181,-0.0028023,-0.00062699,0.68987,0.0026555,0.0032832,0.0030892,0.096287,-0.010355,-0.0015768,0.2112,-0.0021757,0.088571,0,0,1,0,0,0,0,0,,,,,,,
2,4,2.83,1,1.4855,0.36566,0.37974,0.025564,0.01982,-0.059396,1.0228,0.3836,0.063828,-0.0027107,-0.023838,1.3257,0.11011,0.003297,-0.0047757,0.378,-0.020736,0.00027654,0.48423,0.057516,0.39077,0,0,0,1,0,0,0,0,,,,,,,
2,4,2.83,2,1.0603,0.29403,0.29774,0.015205,0.013423,-0.044143,0.74803,0.30743,0.033881,-0.0039877,-0.012065,0.92564,0.071548,-0.0028143,-0.0035102,0.2526,-0.013802,-0.0019954,0.31819,0.038749,0.25605,0,0,0,1,0,0,0,0,,,,,,,
2,7,3.81,1,2.972,1.077,1.076,0.00038817,-0.00066485,-0.00051102,2.9703,1.0777,0.00039211,0.00083112,0.00031148,2.9713,-0.00078028,-0.00016628,0.00019954,0.9477,0.00019954,0.00083112,0.94596,0.00038817,0.94701,0,0,0,0,0,0,1,0,,,,,,,
2,7,3.81,2,2.9718,1.0771,1.0761,0.0003864,-0.00066091,-0.00050857,2.9701,1.0778,0.00039028,0.00082556,0.00031043,2.9711,-0.00077669,-0.00016465,0.00019814,0.94754,0.00019883,0.0008272,0.94581,0.00038613,0.94686,0,0,0,0,0,0,1,0,,,,,,,
2,5,2.95,1,1.5484,0.55376,0.60331,0.0024439,0.039871,-0.04549,1.1749,0.56189,0.0076717,-0.0048542,-0.015156,1.4379,0.027133,0.029701,-0.0073134,0.31046,-0.016992,0.0043623,0.41098,0.0077486,0.31691,0,0,0,0,1,0,0,0,,,,,,,
2,5,2.95,2,1.196,0.56974,0.57791,-0.004213,0.032423,-0.028477,0.96714,0.585,0.0017526,-0.0083228,-0.0025687,1.0988,0.014804,0.016901,0.0013191,0.18088,-0.010607,0.0012921,0.24518,0.0036967,0.18265,0,0,0,0,1,0,0,0,,,,,,,
2,6,3.124,1,1.8178,0.6208,0.63976,-0.0016336,0.04423,-0.028053,1.3461,0.56754,0.012544,0.010523,0.0088433,1.3889,0.0087409,0.023788,-0.023916,0.41876,-0.017667,-0.0033852,0.44962,0.011321,0.45172,0,0,0,0,0,1,0,0,,,,,,,
2,6,3.124,2,1.745,0.60199,0.62402,-0.0020621,0.047672,-0.031341,1.2977,0.54463,0.0097753,0.0099211,0.0074132,1.3239,0.0071393,0.020168,-0.022227,0.39891,-0.015813,-0.0045239,0.40803,0.0096567,0.41075,0,0,0,0,0,1,0,0,,,,,,,
3,0,2.8038,1,1.5027,0.49454,0.53622,-0.00067024,0.036186,-0.0078574,1.2207,0.48574,0.017735,0.005949,-0.0030632,1.4055,0.017889,0.034192,-0.0011913,0.40938,-0.0019085,0.0013987,0.46016,0.011218,0.40615,0.10275,0.15587,0.067678,0,0,0.6737,0,0,,,,,,,
3,0,2.8038,2,1.2217,0.43341,0.46195,-0.0020909,0.029493,0.00013397,1.031,0.44751,0.014744,-0.0059,-0.003163,1.131,0.013076,0.027982,-0.0023042,0.33347,-0.0028584,-0.0058339,0.35339,0.014257,0.32006,0.10275,0.15587,0.067678,0,0,0.6737,0,0,,,,,,,
3,0,2.8038,3,1.3622,0.46397,0.49909,-0.0013806,0.03284,-0.0038617,1.1258,0.46663,0.016239,2.45E-05,-0.0031131,1.2682,0.015482,0.031087,-0.0017478,0.37143,-0.0023834,-0.0022176,0.40677,0.012738,0.36311,0.10275,0.15587,0.067678,0,0,0.6737,0,0,,,,,,,
3,1,2.649,1,1.0165,0.05789,0.058046,-0.0092754,-0.01136,-0.0017305,1.0316,0.048382,0.034377,0.0061844,0.015443,1.0423,-0.026039,-0.0025197,-0.017478,0.47114,-0.019781,0.0014779,0.47747,-0.0098487,0.4707,1,0,0,0,0,0,0,0,,,,,,,
3,1,2.649,2,0.92214,0.099578,0.098108,-0.007876,-0.0089689,-0.0012948,0.93768,0.087212,0.028919,0.0046493,0.012382,0.95056,-0.021881,-0.0029541,-0.014687,0.40973,-0.016636,0.0014952,0.41193,-0.0085769,0.40616,1,0,0,0,0,0,0,0,,,,,,,
3,2,2.686,1,1.1164,0.42668,0.4412,-0.0015726,0.0025006,-0.0037902,1.0812,0.42812,-0.0029529,-0.00048864,-0.0057258,1.0905,-0.00054971,0.0035854,7.37E-05,0.32847,0.0011782,-0.0010267,0.32785,0.00078078,0.32068,0,1,0,0,0,0,0,0,,,,,,,
3,2,2.686,2,0.97749,0.38333,0.39983,-0.0027488,0.001947,-0.0033222,0.95114,0.38377,-0.0011893,0.00073207,-0.004778,0.95541,-0.00015898,0.0020209,8.38E-05,0.284,0.00097734,-0.0021236,0.27926,0.0024012,0.27581,0,1,0,0,0,0,0,0,,,,,,,
3,3,3.05,1,1.3778,0.29955,0.28909,0.0080273,0.074722,0.030152,0.98381,0.38745,0.080526,-0.045095,0.0036865,1.0582,0.062815,0.091228,-0.012923,0.43904,-0.0060515,-0.0053904,0.43781,0.057757,0.42725,0,0,1,0,0,0,0,0,,,,,,,
3,3,3.05,2,0.67011,0.31845,0.32107,-0.000514,0.031062,0.020514,0.53788,0.35202,0.024911,-0.015741,-0.0053835,0.55503,0.016287,0.023964,-0.0033008,0.14678,-0.0080718,-0.0126,0.13332,0.020966,0.12796,0,0,1,0,0,0,0,0,,,,,,,
3,6,3.124,1,1.6787,0.59643,0.65596,-2.28E-05,0.04736,-0.013551,1.3056,0.57565,0.013675,0.01253,-0.0059477,1.5686,0.024341,0.041142,0.0021786,0.4157,0.00051946,0.0026298,0.49038,0.012171,0.41397,0,0,0,0,0,1,0,0,,,,,,,
3,6,3.124,2,1.5757,0.57106,0.63971,0.0016619,0.046999,-0.012375,1.2614,0.55286,0.012058,0.01228,-0.004069,1.4765,0.023894,0.037683,0.0025062,0.38953,0.0014691,-0.0018079,0.45272,0.011393,0.38279,0,0,0,0,0,1,0,0,,,,,,,
11,0,2.7869,1,3.2899,1.417,1.4668,-0.015856,-0.0076222,0.0099891,2.9953,1.4039,0.0052194,0.0048974,0.0077678,3.2473,0.045327,4.49E-05,0.0028325,0.8002,0.0051892,0.0038647,0.90999,-0.006153,0.80335,0.262,0.1192,0,0.0144,0.021,0.5764,0,0.0069,,,,,,,
11,0,2.7869,2,1.2313,0.34282,0.3606,-0.0024686,-0.0041925,0.0094151,1.0281,0.34084,0.0028837,0.0016974,0.0016055,1.2014,0.020631,0.00012573,0.0021185,0.35347,0.0061075,0.0013733,0.43044,0.0088069,0.34729,0.262,0.1192,0,0.0144,0.021,0.5764,0,0.0069,,,,,,,
11,0,2.7869,3,2.2606,0.87989,0.91368,-0.0091623,-0.0059073,0.0097021,2.0117,0.87234,0.0040516,0.0032974,0.0046867,2.2243,0.032979,8.53E-05,0.0024755,0.57684,0.0056483,0.002619,0.67022,0.0013269,0.57532,0.262,0.1192,0,0.0144,0.021,0.5764,0,0.0069,,,,,,,
11,1,2.649,1,1.0131,0.056122,0.071164,-0.011121,-0.0085302,-0.0013812,1.033,0.047299,0.010717,0.006432,-0.0016551,1.0237,0.00466,0.001716,0.0052445,0.4652,0.006595,0.0061982,0.49147,-0.0085182,0.47292,1,0,0,0,0,0,0,0,,,,,,,
11,1,2.649,2,0.92386,0.096132,0.10725,-0.010395,-0.0069793,0.00013351,0.93739,0.089988,0.0090361,0.0048857,-0.0018814,0.93193,0.0053567,0.0017147,0.0039208,0.40221,0.0055737,0.0043771,0.42233,-0.0072338,0.40706,1,0,0,0,0,0,0,0,,,,,,,
11,2,2.686,1,1.0857,0.42664,0.42401,-0.0017186,-0.0023677,0.0013321,1.1264,0.44504,-0.015312,-0.0014097,0.0014451,1.0765,-0.0046504,5.75E-05,-0.00061791,0.33225,-0.00078578,-0.00051365,0.32659,0.0036962,0.31784,0,1,0,0,0,0,0,0,,,,,,,
11,2,2.686,2,0.95224,0.38716,0.37947,-0.0048488,-0.0013549,0.0012884,0.98467,0.40186,-0.011207,-0.0016921,0.00078112,0.94633,-0.0028431,-0.00014132,-0.00028762,0.28332,7.33E-05,0.00044783,0.28507,0.0060952,0.27212,0,1,0,0,0,0,0,0,,,,,,,
11,4,2.83,1,1.4736,0.32955,0.40636,0.00035625,0.0056338,0.012095,1.0459,0.34614,0.019823,0.0061156,-0.0047572,1.4084,0.014327,0.023364,0.0051164,0.35309,0.0040585,0.012232,0.51121,0.0048022,0.34174,0,0,0,1,0,0,0,0,,,,,,,
11,4,2.83,2,1.0473,0.26098,0.32605,-0.00034042,0.0043958,0.010258,0.75278,0.27324,0.010999,0.0043737,-0.0019182,0.98108,0.0066567,0.020389,0.0047049,0.23026,0.0035679,0.0060414,0.34008,0.0038325,0.22647,0,0,0,1,0,0,0,0,,,,,,,
11,6,3.124,1,1.75,0.58079,0.64514,0.0031851,-0.0035555,0.020147,1.2125,0.56923,0.011827,0.0012529,0.0061915,1.6562,0.04523,-0.0029958,0.0042045,0.38085,0.0072538,-0.00087247,0.53057,0.017373,0.37574,0,0,0,0,0,1,0,0,,,,,,,
11,6,3.124,2,1.6867,0.56302,0.63608,0.0045656,-0.0047452,0.019635,1.1871,0.55123,0.0081905,0.00095207,0.0040498,1.5864,0.043332,-0.0032282,0.004384,0.36246,0.0065335,-0.00029646,0.50123,0.016129,0.35441,0,0,0,0,0,1,0,0,,,,,,,
11,5,2.95,1,1.3242,0.59431,0.59747,0.016443,0.0033789,0.035268,1.1845,0.58598,0.016401,0.0065788,0.041418,1.5349,0.01187,0.009665,0.017094,0.36155,0.03045,0.0093733,0.39456,0.02281,0.34105,0,0,0,0,1,0,0,0,,,,,,,
11,5,2.95,2,1.0228,0.60793,0.58314,0.0099556,0.0023627,0.014988,0.96205,0.59114,0.0077778,0.0059268,0.018181,1.1596,0.0035001,0.0070303,0.00508,0.21019,0.022498,0.0078358,0.23352,0.017158,0.20047,0,0,0,0,1,0,0,0,,,,,,,
11,8,5.01,1,266.27,144.84,145.99,-2.1629,-0.46489,-0.33842,268.34,143.92,-0.46525,0.35245,0.53031,267.19,2.6281,0.11244,-0.19189,58.916,-0.19189,0.35245,60.99,-2.1629,59.841,0,0,0,0,0,0,0,1,,,,,,,
11,8,5.01,2,266.08,144.96,146.06,-2.1422,-0.46123,-0.34179,268.18,143.96,-0.49372,0.35261,0.53444,267.08,2.6359,0.10862,-0.19266,58.812,-0.19677,0.35481,60.882,-2.2093,59.709,0,0,0,0,0,0,0,1,,,,,,,
13,0,2.7944,1,1.4628,0.42844,0.44523,0.0049258,-0.015198,-0.0021847,1.1267,0.40726,0.011774,-0.0048835,0.004048,1.3711,-0.0076147,-0.012809,-0.0050586,0.39531,-0.006737,-0.00069353,0.48031,0.0072604,0.39973,0.23528,0.12255,0.086661,0,0.046299,0.50922,0,0,,,,,,,
13,0,2.7944,2,1.1162,0.38267,0.35662,0.015587,-0.010485,7.99E-05,0.90511,0.36861,0.0086846,-0.0018688,0.0065133,1.0784,-0.031013,-0.0059686,-0.0084735,0.29443,-0.0106,-5.76E-05,0.36106,0.0063082,0.29168,0.23528,0.12255,0.086661,0,0.046299,0.50922,0,0,,,,,,,
13,0,2.7944,3,1.2895,0.40555,0.40092,0.010256,-0.012841,-0.0010524,1.0159,0.38794,0.010229,-0.0033762,0.0052806,1.2248,-0.019314,-0.009389,-0.006766,0.34487,-0.0086687,-0.00037558,0.42068,0.0067843,0.3457,0.23528,0.12255,0.086661,0,0.046299,0.50922,0,0,,,,,,,
13,1,2.649,1,1.0188,0.061414,0.059854,-0.0018852,-0.00058927,-0.0054268,1.0372,0.034793,0.037535,0.0019653,0.011358,1.0508,-0.044011,-0.0057383,-0.0074425,0.45286,-0.008367,-0.00070279,0.48201,-0.0069993,0.47619,1,0,0,0,0,0,0,0,,,,,,,
13,1,2.649,2,0.9251,0.10268,0.099272,-0.00086716,-0.00082501,-0.0042716,0.94295,0.073982,0.031026,0.0012834,0.0091197,0.96022,-0.038294,-0.0045971,-0.0063274,0.39426,-0.0066349,-0.00060789,0.41645,-0.0071564,0.41041,1,0,0,0,0,0,0,0,,,,,,,
13,2,2.686,1,1.0758,0.43781,0.43019,-0.010532,-0.0016213,-0.00055717,1.0983,0.45013,-0.012817,0.0014523,0.0066114,1.0697,-0.011298,0.00044814,0.005493,0.34008,0.0029998,0.0007201,0.32774,-0.0021727,0.3313,0,1,0,0,0,0,0,0,,,,,,,
13,2,2.686,2,0.94451,0.39543,0.38665,-0.014493,-0.0012925,-0.00072396,0.9622,0.40486,-0.0084025,0.0013879,0.0052359,0.94029,-0.0074978,3.58E-05,0.0055329,0.29246,0.0023965,0.0011885,0.28318,0.0027594,0.28301,0,1,0,0,0,0,0,0,,,,,,,
13,3,3.05,1,1.4029,0.3236,0.2944,0.038611,-0.0093793,0.016235,0.66595,0.32593,-0.042886,0.001882,0.039639,1.4153,-0.18424,-0.012905,-0.028067,0.35963,-0.018931,-0.0048209,0.55985,-0.023323,0.35246,0,0,1,0,0,0,0,0,,,,,,,
13,3,3.05,2,0.66788,0.336,0.28754,0.032728,-0.0069096,0.0071426,0.48539,0.34198,-0.0064406,0.00039277,0.0085495,0.72866,-0.090559,0.0035103,-0.017991,0.13048,-0.014487,0.0037063,0.17921,-0.00068575,0.10876,0,0,1,0,0,0,0,0,,,,,,,
13,6,3.124,1,1.7778,0.59687,0.64086,0.0054998,-0.025567,0.00045195,1.2481,0.56851,0.013317,-0.010601,-8.52E-05,1.5706,0.039693,-0.02031,-0.0010752,0.39383,-0.0031357,0.00056003,0.51259,0.020461,0.39183,0,0,0,0,0,1,0,0,,,,,,,
13,6,3.124,2,1.7096,0.57755,0.62883,0.0074684,-0.027765,-0.00012111,1.2123,0.54824,0.0092266,-0.010158,0.00066992,1.4942,0.036419,-0.017774,-0.001849,0.37447,-0.0029496,0.0024253,0.47808,0.018998,0.36354,0,0,0,0,0,1,0,0,,,,,,,
13,5,2.95,1,1.3916,0.61236,0.57387,0.011087,-0.022217,-0.053495,1.1845,0.56528,0.031297,-0.0062337,-0.061043,1.5201,-0.002607,-0.0011552,-0.021619,0.33204,-0.041009,-0.01045,0.37135,0.016752,0.36752,0,0,0,0,1,0,0,0,,,,,,,
13,5,2.95,2,1.0687,0.6237,0.55085,0.0099151,-0.017517,-0.028157,0.96761,0.57324,0.017565,-0.0076046,-0.030253,1.1754,-0.011423,0.0073427,-0.0014771,0.19374,-0.025512,-0.0089679,0.21531,0.013504,0.21857,0,0,0,0,1,0,0,0,,,,,,,
14,0,2.9102,1,1.3483,0.26872,0.29481,0.0085303,-0.025201,-0.074649,0.9492,0.26691,-0.0022044,0.0068413,-0.022231,1.2808,-0.0088681,-0.019533,-0.0043256,0.37497,-0.02833,-0.0033236,0.50683,0.0027162,0.39546,0.31716,0.14036,0.16854,0.35821,0,0,0.015733,0,,,,,,,
14,0,2.9102,2,0.95191,0.26802,0.26037,0.015156,-0.035912,-0.069293,0.68665,0.26194,-0.0061491,0.011875,0.00099835,0.88178,-0.002884,-0.016606,0.0039485,0.21018,-0.026348,-0.001563,0.32825,0.0069264,0.22777,0.31716,0.14036,0.16854,0.35821,0,0,0.015733,0,,,,,,,
14,0,2.9102,3,1.1501,0.26837,0.27759,0.011843,-0.030557,-0.071971,0.81793,0.26442,-0.0041768,0.0093583,-0.010617,1.0813,-0.0058761,-0.018069,-0.00018857,0.29257,-0.027339,-0.0024433,0.41754,0.0048213,0.31161,0.31716,0.14036,0.16854,0.35821,0,0,0.015733,0,,,,,,,
14,1,2.649,1,1.0282,0.058169,0.057073,0.0013177,0.00046893,0.0054278,1.0248,0.059847,0.014837,0.0017349,-0.011035,1.0158,-0.021563,-0.0050906,0.005807,0.47585,0.005929,-3.08E-05,0.47347,-0.00199,0.48076,1,0,0,0,0,0,0,0,,,,,,,
14,1,2.649,2,0.93409,0.098207,0.098027,0.0017959,-0.00017012,0.0039792,0.93165,0.099673,0.01154,0.0018159,-0.0086746,0.92246,-0.018362,-0.0044245,0.0048584,0.41014,0.0050054,-0.00060596,0.40787,-0.0022516,0.41573,1,0,0,0,0,0,0,0,,,,,,,
14,2,2.686,1,1.0952,0.43487,0.44361,0.0042949,-0.0032843,-0.010211,1.0702,0.43155,0.0072417,-0.0015357,-0.0035723,1.0946,0.011115,-0.0038047,0.00021117,0.32647,0.0013583,-4.49E-05,0.33448,0.00044134,0.33008,0,1,0,0,0,0,0,0,,,,,,,
14,2,2.686,2,0.95779,0.39278,0.40095,0.005227,-0.0022311,-0.0094766,0.93966,0.38688,0.0056572,-0.003112,-0.0032513,0.96051,0.0087763,-0.0021174,0.0005486,0.28136,0.00028999,0.00073865,0.28712,-0.00021189,0.28374,0,1,0,0,0,0,0,0,,,,,,,
14,3,3.05,1,1.4846,0.29426,0.30629,0.018247,-0.069602,-0.17263,0.72724,0.26982,-0.054811,0.022932,-0.036677,1.4194,-0.033539,-0.050302,-0.00162,0.28242,-0.070918,-0.0089259,0.57967,-0.0047841,0.33628,0,0,1,0,0,0,0,0,,,,,,,
14,3,3.05,2,0.76848,0.32629,0.32244,0.019979,-0.060883,-0.075496,0.49961,0.3133,-0.011448,0.01134,-0.0014339,0.68922,-0.0035585,-0.0257,0.0023977,0.093611,-0.028388,-0.0032932,0.21133,0.01035,0.1114,0,0,1,0,0,0,0,0,,,,,,,
14,4,2.83,1,1.5953,0.34253,0.4074,0.012668,-0.036657,-0.12827,0.85084,0.34839,0.0037674,0.007343,-0.033531,1.4492,0.0053639,-0.024908,-0.016348,0.32269,-0.051313,-0.0050653,0.55045,0.011712,0.34918,0,0,0,1,0,0,0,0,,,,,,,
14,4,2.83,2,1.2405,0.29512,0.33119,0.017333,-0.057245,-0.10954,0.6709,0.28519,0.0031875,0.0011409,-0.014898,1.0191,0.0059444,-0.027312,-0.012763,0.22365,-0.036798,-0.0035642,0.38579,0.015256,0.23972,0,0,0,1,0,0,0,0,,,,,,,
14,7,3.81,1,2.9753,1.0766,1.0731,-0.0065948,-0.0017405,0.0067018,2.9628,1.0855,-0.0024312,0.00071509,-0.0023823,2.9664,0.009026,0.0010254,-0.0043195,0.95554,-0.0043195,0.00071509,0.9431,-0.0065948,0.94663,0,0,0,0,0,0,1,0,,,,,,,
14,7,3.81,2,2.9751,1.0767,1.0731,-0.0066391,-0.0017465,0.0066949,2.9627,1.0855,-0.0023931,0.00073745,-0.0023858,2.9663,0.0090322,0.001009,-0.0043091,0.9555,-0.0043126,0.00070646,0.94305,-0.0065429,0.94656,0,0,0,0,0,0,1,0,,,,,,,
15,0,2.9158,1,1.3732,0.32841,0.35071,-0.00021141,0.0021481,0.013676,1.14,0.32618,0.010796,-0.0031571,0.00084314,1.3766,-0.020266,-0.00016145,0.0043635,0.42629,0.0088621,-0.0039298,0.51198,-0.0028187,0.42732,0.35032,0.19008,0.044726,0.28084,0.0549,0,0.079134,0,,,,,,,
15,0,2.9158,2,0.98879,0.26705,0.26588,0.0019372,0.0034761,0.011526,0.81266,0.26384,0.0045896,-0.0042497,-0.0012635,0.99568,-0.01479,-0.00015669,0.0034376,0.27215,0.0098169,-0.0031148,0.36406,-0.001324,0.27198,0.35032,0.19008,0.044726,0.28084,0.0549,0,0.079134,0,,,,,,,
15,0,2.9158,3,1.181,0.29773,0.30829,0.0008629,0.0028121,0.012601,0.97633,0.29501,0.0076928,-0.0037034,-0.00021018,1.1861,-0.017528,-0.00015907,0.0039005,0.34922,0.0093395,-0.0035223,0.43802,-0.0020714,0.34965,0.35032,0.19008,0.044726,0.28084,0.0549,0,0.079134,0,,,,,,,
15,1,2.649,1,1.018,0.054409,0.06514,-0.0033678,-0.0016312,0.0018926,1.043,0.051771,0.033083,-0.00069381,-0.0042666,1.0153,-0.028775,-0.0057631,0.0016037,0.47138,0.0011326,-0.0056406,0.47764,-0.0027928,0.4773,1,0,0,0,0,0,0,0,,,,,,,
15,1,2.649,2,0.92454,0.094452,0.10555,-0.0036702,-0.0027608,0.0010093,0.9517,0.090121,0.028382,0.00081056,-0.0031208,0.92369,-0.02329,-0.0057424,0.0013503,0.40749,0.00072143,-0.0053564,0.41006,-0.0023122,0.4127,1,0,0,0,0,0,0,0,,,,,,,
15,2,2.686,1,1.0843,0.44411,0.42174,-0.00094339,-0.0030318,-0.0029908,1.1243,0.44,0.00083242,-0.003629,-0.004085,1.0597,-0.0016026,-0.0034206,0.0019163,0.33085,0.0025738,-0.0013841,0.32535,2.02E-05,0.33066,0,1,0,0,0,0,0,0,,,,,,,
15,2,2.686,2,0.95147,0.40331,0.37733,-0.0017736,-0.0021258,-0.0022705,0.9814,0.39734,0.0012096,-0.0041286,-0.0032516,0.93265,-0.00065268,-0.0025902,0.00077077,0.28381,0.0029219,-0.00059231,0.28227,0.0013939,0.28264,0,1,0,0,0,0,0,0,,,,,,,
15,3,3.05,1,1.4945,0.26838,0.30982,0.013018,0.0044876,0.043967,0.64167,0.23791,-0.026968,-0.010269,0.014707,1.6036,-0.045559,0.0021352,0.0090643,0.25459,0.031319,-0.011466,0.6303,-0.0065334,0.25922,0,0,1,0,0,0,0,0,,,,,,,
15,3,3.05,2,0.72441,0.31864,0.31275,0.008335,0.009611,0.012709,0.48933,0.30444,-0.0037579,-0.0074253,0.0009666,0.82329,-0.017297,0.0034247,0.0036101,0.084083,0.014446,-0.0021126,0.24634,0.00024946,0.085759,0,0,1,0,0,0,0,0,,,,,,,
15,4,2.83,1,1.5295,0.34124,0.41115,0.0032359,0.0090336,0.041305,0.8169,0.3379,2.14E-05,-0.0057547,0.011931,1.565,-0.02973,0.0086011,0.0084809,0.32565,0.021214,-0.0038697,0.56304,-0.0045126,0.32561,0,0,0,1,0,0,0,0,,,,,,,
15,4,2.83,2,1.1048,0.28601,0.32429,0.003118,0.01154,0.02877,0.65807,0.28516,0.00082139,-0.0032685,0.0047312,1.1518,-0.02372,0.011327,0.0052097,0.22133,0.015309,-0.0020472,0.39234,-0.0023185,0.22103,0,0,0,1,0,0,0,0,,,,,,,
15,7,3.81,1,2.9709,1.0792,1.0749,-0.00065831,-0.0021788,0.0010953,2.9707,1.0751,0.0017118,0.00021966,-0.0018099,2.9749,-0.0010535,0.0019591,0.00071467,0.94514,0.00071467,0.00021966,0.94493,-0.00065831,0.94917,0,0,0,0,0,0,1,0,,,,,,,
15,7,3.81,2,2.9707,1.0793,1.075,-0.00065173,-0.0021653,0.0010903,2.9705,1.0752,0.0016989,0.00021611,-0.0018032,2.9747,-0.0010472,0.0019492,0.00071289,0.945,0.0007076,0.00021567,0.9448,-0.00065539,0.94901,0,0,0,0,0,0,1,0,,,,,,,
15,5,2.95,1,1.4388,0.57735,0.60725,-0.0053037,0.013306,-0.0013006,1.2332,0.61556,0.0020535,-0.0030284,-0.013679,1.3269,0.010745,-0.002885,0.010814,0.37582,0.010221,-0.0019757,0.39562,-0.0042363,0.34811,0,0,0,0,1,0,0,0,,,,,,,
15,5,2.95,2,1.0898,0.58403,0.59636,-0.005172,0.011384,-0.00031785,0.9794,0.61505,0.0010942,-0.0029282,-0.007944,1.0159,0.0072247,-0.0033367,0.0074294,0.22224,0.0088059,-0.0016735,0.23338,-0.0035768,0.19964,0,0,0,0,1,0,0,0,,,,,,,
21,0,2.7288,1,1.1501,0.3197,0.34694,-0.0023815,-0.0042346,-0.0054621,1.0101,0.31017,0.008349,0.0010583,0.0021065,1.1679,-0.0072172,-0.00091175,-0.0011972,0.34668,-0.0047693,-0.0031899,0.39714,0.0026208,0.35197,0.23134,0.63816,0.078565,0.051936,0,0,0,0,,,,,,,
21,0,2.7288,2,0.91963,0.3008,0.31468,-0.0032406,-0.0027408,-0.0076264,0.81954,0.28681,0.0011263,0.00095377,0.0033804,0.94424,0.00061401,-0.0025927,9.64E-05,0.24287,-0.0053247,0.00042817,0.303,0.0046621,0.24907,0.23134,0.63816,0.078565,0.051936,0,0,0,0,,,,,,,
21,0,2.7288,3,1.0349,0.31025,0.33081,-0.0028111,-0.0034877,-0.0065443,0.91481,0.29849,0.0047376,0.001006,0.0027435,1.0561,-0.0033016,-0.0017522,-0.00055041,0.29477,-0.005047,-0.0013809,0.35007,0.0036414,0.30052,0.23134,0.63816,0.078565,0.051936,0,0,0,0,,,,,,,
21,1,2.649,1,1.0381,0.044974,0.054955,-0.0011827,-0.021829,-0.0064473,1.0662,0.02707,0.029227,-0.0060715,0.0081882,1.0607,-0.028437,0.0034374,-0.0055532,0.44639,-0.0078848,-0.021033,0.47417,-0.0014227,0.46144,1,0,0,0,0,0,0,0,,,,,,,
